rennen,jahr,etappe,terrain,km,hm,ps,finisher,erste_gruppe,erste_gruppe_anteil,zeitgruppen,gruppengroesse_hinten,letzter_je_km,p5_je_km,p10_je_km,p25_je_km,p50_je_km,p75_je_km,p90_je_km,p100_je_km,rang10_je_km,rang20_je_km,rang30_je_km,rang50_je_km,rang75_je_km,rang100_je_km,rang150_je_km,ueber_zeitlimit
Giro,2010,20,High_Mountain,178.0,4849,324,139,1,0.007194244604316547,47,3.0,12.775280898876405,0.2696629213483146,0.5561797752808989,3.4101123595505616,10.623595505617978,12.775280898876405,12.775280898876405,12.775280898876405,0.34831460674157305,0.7471910112359551,2.033707865168539,6.47191011235955,10.707865168539326,12.775280898876405,,0
Giro,2010,3,Flat,224.0,322,1,195,26,0.13333333333333333,14,13.0,3.9598214285714284,0.0,0.0,0.20535714285714285,2.138392857142857,2.138392857142857,2.138392857142857,3.9598214285714284,0.0,0.0,0.20535714285714285,0.20535714285714285,2.138392857142857,2.138392857142857,2.138392857142857,0
Giro,2010,5,Hilly,168.0,1067,40,195,3,0.015384615384615385,14,14.76923076923077,2.9523809523809526,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.2857142857142857,1.619047619047619,2.9523809523809526,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.2857142857142857,0
Giro,2010,6,Hilly_Difficult,172.0,2420,115,192,1,0.005208333333333333,10,21.22222222222222,5.441860465116279,0.436046511627907,0.436046511627907,0.436046511627907,1.4593023255813953,4.011627906976744,5.441860465116279,5.441860465116279,0.436046511627907,0.436046511627907,0.436046511627907,0.436046511627907,0.436046511627907,2.133720930232558,4.011627906976744,0
Giro,2010,7,Hilly_Difficult,220.0,2373,141,190,1,0.005263157894736842,74,2.589041095890411,7.1045454545454545,0.3181818181818182,0.6545454545454545,2.5636363636363635,5.572727272727272,6.618181818181818,6.722727272727273,7.1045454545454545,0.3181818181818182,0.7863636363636364,1.0454545454545454,2.7636363636363637,5.127272727272727,5.609090909090909,6.654545454545454,0
Giro,2010,8,Medium_Mountain,189.0,3424,246,182,1,0.005494505494505495,42,4.414634146341464,7.888888888888889,0.2962962962962963,0.4603174603174603,1.306878306878307,3.931216931216931,5.6878306878306875,7.301587301587301,7.888888888888889,0.2962962962962963,0.582010582010582,0.6349206349206349,1.4867724867724867,3.931216931216931,5.6878306878306875,7.301587301587301,0
Giro,2010,9,Flat,188.0,1018,8,181,47,0.2596685082872928,25,5.583333333333333,3.8617021276595747,0.0,0.0,0.0,0.48404255319148937,1.9787234042553192,2.425531914893617,3.8617021276595747,0.0,0.0,0.0,0.031914893617021274,0.19148936170212766,0.5797872340425532,2.425531914893617,0
Giro,2011,10,Flat,159.0,1207,15,187,145,0.7754010695187166,19,2.3333333333333335,2.0125786163522013,0.0,0.0,0.0,0.0,0.0,0.6729559748427673,2.0125786163522013,0.0,0.0,0.0,0.0,0.0,0.0,0.2578616352201258,0
Giro,2011,11,Medium_Mountain,144.0,2612,140,185,17,0.0918918918918919,43,4.0,6.458333333333333,0.0,0.0763888888888889,0.3472222222222222,1.5555555555555556,6.319444444444445,6.319444444444445,6.458333333333333,0.0,0.0763888888888889,0.1875,0.4097222222222222,1.2083333333333333,1.7708333333333333,6.319444444444445,0
Giro,2011,12,Flat,184.0,488,5,185,169,0.9135135135135135,6,3.2,1.2934782608695652,0.0,0.0,0.0,0.0,0.0,0.0,1.2934782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Giro,2011,13,Mountain,167.0,4208,352,175,1,0.005714285714285714,50,3.5510204081632653,8.58682634730539,0.5748502994011976,0.9700598802395209,2.407185628742515,5.688622754491018,7.4431137724550895,7.526946107784431,8.58682634730539,0.5748502994011976,1.155688622754491,1.3712574850299402,2.6706586826347305,5.0359281437125745,5.802395209580839,7.4431137724550895,0
Giro,2011,14,Mountain,172.0,4170,413,172,1,0.005813953488372093,109,1.5833333333333333,9.383720930232558,0.7616279069767442,1.3662790697674418,2.8488372093023258,5.441860465116279,6.441860465116279,7.087209302325581,9.383720930232558,0.8372093023255814,1.4127906976744187,2.052325581395349,3.6569767441860463,5.02906976744186,5.813953488372093,6.872093023255814,0
Giro,2011,15,High_Mountain,229.0,6939,474,165,1,0.006060606060606061,112,1.4774774774774775,11.768558951965066,1.0524017467248907,1.7685589519650655,4.502183406113537,7.471615720524017,10.157205240174672,10.83406113537118,11.768558951965066,1.148471615720524,2.6331877729257642,4.0873362445414845,5.493449781659389,7.2663755458515285,8.676855895196507,10.921397379912664,0
Giro,2011,17,Medium_Mountain,230.0,3852,158,161,3,0.018633540372670808,19,8.777777777777779,6.334782608695652,0.034782608695652174,0.7782608695652173,0.7782608695652173,1.1130434782608696,4.413043478260869,6.334782608695652,6.334782608695652,0.043478260869565216,0.7782608695652173,0.7782608695652173,0.9260869565217391,0.9260869565217391,2.7304347826086954,6.334782608695652,0
Giro,2011,18,Hilly_Difficult,151.0,2094,129,161,3,0.018633540372670808,13,13.166666666666666,6.059602649006623,1.814569536423841,1.8344370860927153,2.410596026490066,2.410596026490066,5.933774834437086,5.933774834437086,6.059602649006623,1.814569536423841,2.410596026490066,2.410596026490066,2.410596026490066,2.410596026490066,5.933774834437086,5.933774834437086,0
Giro,2011,19,Hilly_Difficult,209.0,3018,213,158,1,0.006329113924050633,42,3.8292682926829267,7.875598086124402,0.13875598086124402,0.33014354066985646,1.9712918660287082,5.6028708133971294,7.588516746411483,7.588516746411483,7.875598086124402,0.16267942583732056,0.3923444976076555,0.69377990430622,3.1913875598086126,5.6028708133971294,5.832535885167464,7.588516746411483,0
Giro,2011,2,Flat,244.0,944,26,206,168,0.8155339805825242,13,3.1666666666666665,2.540983606557377,0.0,0.0,0.0,0.0,0.0,0.32786885245901637,2.540983606557377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Giro,2011,20,Mountain,242.0,3512,330,158,1,0.006329113924050633,34,4.757575757575758,11.797520661157025,1.4793388429752066,2.177685950413223,3.1611570247933884,8.140495867768594,10.570247933884298,10.570247933884298,11.797520661157025,1.5702479338842976,2.355371900826446,2.8388429752066116,4.041322314049586,8.140495867768594,10.570247933884298,10.570247933884298,0
Giro,2011,3,Hilly_Difficult,173.0,2009,89,205,5,0.024390243902439025,15,14.285714285714286,4.699421965317919,0.12138728323699421,0.12138728323699421,0.12138728323699421,0.12138728323699421,1.1560693641618498,2.3294797687861273,4.699421965317919,0.12138728323699421,0.12138728323699421,0.12138728323699421,0.12138728323699421,0.12138728323699421,0.12138728323699421,1.1560693641618498,0
Giro,2011,5,Hilly_Difficult,191.0,2723,121,193,1,0.0051813471502590676,46,4.266666666666667,7.115183246073299,0.041884816753926704,0.041884816753926704,0.8900523560209425,3.350785340314136,5.4188481675392675,6.146596858638744,7.115183246073299,0.041884816753926704,0.041884816753926704,0.14659685863874344,0.8900523560209425,2.115183246073298,3.350785340314136,6.146596858638744,0
Giro,2011,6,Hilly_Difficult,216.0,3121,112,193,86,0.44559585492227977,22,5.095238095238095,4.856481481481482,0.0,0.0,0.0,0.19907407407407407,2.009259259259259,3.7916666666666665,4.856481481481482,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,2.212962962962963,0
Giro,2011,7,Hilly,110.0,2333,173,193,25,0.12953367875647667,36,4.8,10.327272727272728,0.0,0.0,0.41818181818181815,4.618181818181818,8.263636363636364,8.263636363636364,10.327272727272728,0.0,0.0,0.15454545454545454,0.5454545454545454,2.609090909090909,6.009090909090909,8.263636363636364,0
Giro,2011,8,Rolling,217.0,2082,45,192,1,0.005208333333333333,31,6.366666666666666,2.248847926267281,0.02304147465437788,0.02304147465437788,0.02304147465437788,0.28110599078341014,0.4608294930875576,0.6359447004608295,2.248847926267281,0.02304147465437788,0.02304147465437788,0.02304147465437788,0.02304147465437788,0.11981566820276497,0.31336405529953915,0.47465437788018433,0
Giro,2011,9,Mountain,169.0,4091,264,188,1,0.005319148936170213,49,3.8958333333333335,9.42603550295858,0.38461538461538464,0.7514792899408284,2.3254437869822486,8.42603550295858,8.781065088757396,9.195266272189349,9.42603550295858,0.38461538461538464,0.7514792899408284,0.9053254437869822,2.3254437869822486,5.828402366863905,8.42603550295858,8.781065088757396,0
Giro,2012,10,Hilly_Difficult,186.0,2424,87,190,1,0.005263157894736842,48,4.0212765957446805,3.7419354838709675,0.03225806451612903,0.03225806451612903,0.3817204301075269,1.2311827956989247,1.8978494623655915,2.521505376344086,3.7419354838709675,0.03225806451612903,0.03225806451612903,0.13978494623655913,0.3924731182795699,1.1989247311827957,1.2634408602150538,2.0698924731182795,0
Giro,2012,11,Rolling,255.0,2167,58,189,86,0.455026455026455,18,6.0588235294117645,2.9529411764705884,0.0,0.0,0.0,0.16470588235294117,1.580392156862745,2.3607843137254902,2.9529411764705884,0.0,0.0,0.0,0.0,0.0,0.1803921568627451,2.3607843137254902,0
Giro,2012,12,Medium_Mountain,155.0,2665,170,186,1,0.005376344086021506,16,12.333333333333334,7.877419354838709,0.3096774193548387,1.3806451612903226,1.3806451612903226,3.1483870967741936,5.2387096774193544,7.877419354838709,7.877419354838709,1.3806451612903226,1.3806451612903226,1.3806451612903226,1.3806451612903226,1.3806451612903226,3.1483870967741936,6.309677419354839,0
Giro,2012,13,Rolling,121.0,1740,65,185,133,0.7189189189189189,17,3.25,2.8925619834710745,0.0,0.0,0.0,0.0,0.2231404958677686,2.487603305785124,2.8925619834710745,0.0,0.0,0.0,0.0,0.0,0.0,0.4132231404958678,0
Giro,2012,14,Mountain,206.0,3452,302,180,2,0.011111111111111112,44,4.1395348837209305,10.480582524271844,0.22330097087378642,0.2524271844660194,1.203883495145631,5.932038834951456,9.339805825242719,9.339805825242719,10.480582524271844,0.22330097087378642,0.36893203883495146,0.5,1.4854368932038835,4.786407766990291,7.233009708737864,9.339805825242719,0
Giro,2012,15,Mountain,169.0,4075,324,175,2,0.011428571428571429,58,3.0350877192982457,12.893491124260356,0.17159763313609466,0.42011834319526625,2.78698224852071,9.520710059171599,12.355029585798816,12.355029585798816,12.893491124260356,0.17159763313609466,0.4556213017751479,1.3431952662721893,3.7041420118343193,7.745562130177515,9.520710059171599,12.355029585798816,0
Giro,2012,16,Hilly_Difficult,173.0,2579,104,174,1,0.005747126436781609,21,8.65,5.578034682080925,0.26011560693641617,3.1040462427745665,3.1040462427745665,4.208092485549133,4.208092485549133,4.61271676300578,5.578034682080925,0.2774566473988439,3.1040462427745665,3.1040462427745665,3.1040462427745665,3.722543352601156,4.208092485549133,4.61271676300578,0
Giro,2012,17,High_Mountain,186.0,5317,389,169,5,0.029585798816568046,34,4.96969696969697,13.306451612903226,0.44086021505376344,0.8978494623655914,5.376344086021505,10.994623655913978,12.397849462365592,12.397849462365592,13.306451612903226,0.44086021505376344,0.9193548387096774,3.6881720430107525,8.03225806451613,8.688172043010752,10.994623655913978,12.397849462365592,0
Giro,2012,18,Flat,149.0,1009,20,167,146,0.874251497005988,12,1.9090909090909092,1.9261744966442953,0.0,0.0,0.0,0.0,0.0,0.14093959731543623,1.9261744966442953,0.0,0.0,0.0,0.0,0.0,0.0,0.14093959731543623,0
